word,n
dado,430
explicar,430
pergunta,429
torna,429
bases,428
categoria,428
alemao,427
john,427
novas,427
centrais,426
desenvolvida,425
intelectual,425
republica,425
totalidade,425
dominio,424
outrolado,424
conforme,423
discutir,423
sistemas,422
socrates,422
tradicional,422
crise,420
possa,420
pretendemos,420
necessaria,419
pensadores,419
musica,418
sensivel,418
defende,417
cientifica,415
interpretacoes,414
conclusao,413
comunidade,412
feita,410
justificacao,410
esfera,409
sentidos,408
criterio,407
palavras,406
aparece,405
imaginacao,405
apresentacao,403
contemporaneo,403
consideracao,401
ensaio,400
primeiramente,400
primeiros,400
sido,399
identificar,398
substancia,398
ceticismo,397
naturezahumana,397
jogo,396
modelos,396
encontrar,395
responder,395
passagem,394
surge,394
esclarecer,393
especie,391
frente,391
reconstrucao,391
mestrado,390
explicacao,388
fisica,387
horizonte,387
articulacao,386
matematica,386
filosofiapolitica,385
desenvolver,382
husserl,382
determinacao,381
examinar,381
tao,381
cujo,380
merleauponty,380
aplicacao,378
conflito,378
crenca,378
escrita,378
poderia,378
significa,378
leva,375
ontologico,375
politicos,375
explicitar,372
tipos,372
ente,371
formal,371
intuicao,371
argumentacao,370
progresso,370
virtudes,370
levinas,368
seguinte,368
alteridade,366
contrario,366
igualdade,366
quatro,366
aborda,365
demais,365
guerra,365
implica,365
negacao,365
constituem,364
governo,364
dasein,363
faculdade,363
situacao,363
resultados,362
visto,362
classica,361
seculoxx,360
absoluto,359
analisamos,359
plano,359
descricao,358
semantica,357
essencial,356
materia,356
perspectivas,356
material,355
hannah,354
dentre,353
devem,353
entretanto,351
razoes,350
alternativa,349
comportamento,349
estatuto,349
tratar,349
apresentado,348
memoria,348
considerando,347
surgimento,347
tematica,347
objetiva,346
potencia,346
certa,345
investiga,344
tratamento,344
vai,344
bergson,343
direcao,343
efeito,343
mudanca,343
original,343
programa,343
esforco,342
ocorre,342
escolha,339
evolucao,339
frances,339
atencao,338
estetico,338
existencial,337
introducao,337
relevancia,337
verdadeira,337
coisa,336
cuidado,336
figura,336
moderno,336
