"","topic","term","estimate","std.error","statistic","p.value"
"1",1,"(Intercept)",0.00513270327844273,0.00108585926058206,4.72685868672466,0.00000230672899031232
"2",1,"g_orientadorMale",0.000621233882196479,0.0012569909986333,0.494223015814697,0.621157946512762
"3",2,"(Intercept)",0.00759797240847204,0.00117405195095987,6.47158109337509,0.00000000010084771798349
"4",2,"g_orientadorMale",0.00024307065795466,0.00141104613472693,0.172262729029551,0.863233957576399
"5",3,"(Intercept)",0.0135365094119907,0.00176307089409303,7.67780209936156,0.0000000000000174680107293349
"6",3,"g_orientadorMale",-0.0000652819964103129,0.00198348034311326,-0.0329128527222239,0.973744643632728
"7",4,"(Intercept)",0.0140326300475636,0.00175608946918316,7.99084004193181,0.00000000000000146544915532724
"8",4,"g_orientadorMale",-0.00309941907056866,0.00193212847269584,-1.60414750590789,0.108708478272474
"9",5,"(Intercept)",0.00886385850295808,0.00131210700150076,6.75543876590841,0.0000000000149139899153708
"10",5,"g_orientadorMale",0.00198865810166043,0.00149854768446864,1.3270569380417,0.184515691941284
"11",6,"(Intercept)",0.0162436462912061,0.00175180256898208,9.27253252097056,0.0000000000000000000213425613693288
"12",6,"g_orientadorMale",0.00129134475422494,0.00195693321730698,0.659881871698217,0.50934260116205
"13",7,"(Intercept)",0.00425547977183664,0.00115146143423704,3.69572062537755,0.00022026254022296
"14",7,"g_orientadorMale",0.00236380822171917,0.00135167091900483,1.74880452666654,0.0803509830796209
"15",8,"(Intercept)",0.011169387163194,0.00112605857156305,9.91901082702127,0.000000000000000000000042432578692335
"16",8,"g_orientadorMale",0.00503544510974986,0.00130290877059329,3.86477182700745,0.000111792497785382
"17",9,"(Intercept)",0.0136168911116948,0.00153914783537065,8.8470326233579,0.00000000000000000102699380158605
"18",9,"g_orientadorMale",-0.00736939631398299,0.00165732243677827,-4.44656763852701,0.00000880556029481317
"19",10,"(Intercept)",0.00695524668651908,0.00147968684758403,4.70048557765809,0.00000262498939799194
"20",10,"g_orientadorMale",0.00209823618789046,0.00166306790428317,1.26166597436373,0.207094106050781
"21",11,"(Intercept)",0.0184233092378009,0.00199490554698939,9.23517871089406,0.000000000000000000030198179555527
"22",11,"g_orientadorMale",-0.00668445931375799,0.00232279476627402,-2.87776578921799,0.0040122574002392
"23",12,"(Intercept)",0.0193870348729666,0.00204657528010349,9.47291558802873,0.00000000000000000000324066262700765
"24",12,"g_orientadorMale",-0.00395566471974936,0.00229206063576993,-1.72581155053981,0.0844076693976393
"25",13,"(Intercept)",0.0131860333400754,0.00126049763462917,10.460974283347,0.000000000000000000000000168988782430025
"26",13,"g_orientadorMale",-0.00114493059591864,0.00139369702129883,-0.821506093807706,0.411374759294999
"27",14,"(Intercept)",0.0156211979330938,0.00149465399681056,10.4513806984278,0.000000000000000000000000186813485261543
"28",14,"g_orientadorMale",-0.00647242741050118,0.00163052889017886,-3.96952636011938,0.0000724452125986711
"29",15,"(Intercept)",0.0121977469445945,0.00180471957344336,6.75880459440106,0.0000000000145729661032835
"30",15,"g_orientadorMale",0.00529992601317488,0.00215630457655989,2.4578744908246,0.0139905647422802
"31",16,"(Intercept)",0.0074438029727537,0.00149740575370916,4.97113287718775,0.000000675039909105131
"32",16,"g_orientadorMale",0.000852221801726703,0.00160529948520777,0.530880256039204,0.595511816547609
"33",17,"(Intercept)",0.00912290415494012,0.00152628980163036,5.97717690650568,0.00000000233640122490087
